"Evaluate/step_episode","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step__MIN","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step__MAX","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpEnvLen","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpEnvLen__MIN","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpEnvLen__MAX","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step__MIN","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step__MAX","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpEnvLen","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpEnvLen__MIN","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpEnvLen__MAX","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step__MIN","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step__MAX","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpEnvLen","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpEnvLen__MIN","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpEnvLen__MAX","4090_ppo_dis_2025-07-30_13-18-07 - _step","4090_ppo_dis_2025-07-30_13-18-07 - _step__MIN","4090_ppo_dis_2025-07-30_13-18-07 - _step__MAX","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpEnvLen","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpEnvLen__MIN","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpEnvLen__MAX","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step__MIN","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step__MAX","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpEnvLen","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpEnvLen__MIN","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpEnvLen__MAX","4090_dqn_2025-07-29_13-21-06 - _step","4090_dqn_2025-07-29_13-21-06 - _step__MIN","4090_dqn_2025-07-29_13-21-06 - _step__MAX","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpEnvLen","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpEnvLen__MIN","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpEnvLen__MAX","penalty_4070_dqn_2025-07-27_11-39-32 - _step","penalty_4070_dqn_2025-07-27_11-39-32 - _step__MIN","penalty_4070_dqn_2025-07-27_11-39-32 - _step__MAX","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpEnvLen","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpEnvLen__MIN","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpEnvLen__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpEnvLen","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpEnvLen__MIN","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpEnvLen__MAX"
"1705","105513","105513","105513","1234","1234","1234","105401","105401","105401","1273","1273","1273","105306","105306","105306","1223","1223","1223","105223","105223","105223","1214","1214","1214","203108","203108","203108","1180","1180","1180","203411","203411","203411","1091","1091","1091","203199","203199","203199","1194","1194","1194","203217","203217","203217","1230","1230","1230"
"1706","105517","105517","105517","1201","1201","1201","105405","105405","105405","1255","1255","1255","105310","105310","105310","1254","1254","1254","105227","105227","105227","1283","1283","1283","203112","203112","203112","1189","1189","1189","203415","203415","203415","1156","1156","1156","203203","203203","203203","1156","1156","1156","203221","203221","203221","1275","1275","1275"
"1707","105521","105521","105521","1483","1483","1483","105409","105409","105409","1170","1170","1170","105314","105314","105314","1113","1113","1113","105231","105231","105231","1029","1029","1029","203116","203116","203116","1040","1040","1040","203419","203419","203419","1035","1035","1035","203207","203207","203207","1157","1157","1157","203225","203225","203225","1039","1039","1039"
"1708","105525","105525","105525","930","930","930","105413","105413","105413","1155","1155","1155","105318","105318","105318","963","963","963","105235","105235","105235","1161","1161","1161","203120","203120","203120","1136","1136","1136","203423","203423","203423","1142","1142","1142","203211","203211","203211","1153","1153","1153","203229","203229","203229","1144","1144","1144"
"1709","105529","105529","105529","1152","1152","1152","105417","105417","105417","1112","1112","1112","105322","105322","105322","1162","1162","1162","105239","105239","105239","1164","1164","1164","203124","203124","203124","1141","1141","1141","203427","203427","203427","1143","1143","1143","203215","203215","203215","1137","1137","1137","203233","203233","203233","1146","1146","1146"
"1710","106050","106050","106050","1749","1749","1749","105946","105946","105946","1578","1578","1578","105844","105844","105844","1607","1607","1607","105760","105760","105760","1581","1581","1581","204160","204160","204160","1646","1646","1646","204469","204469","204469","1755","1755","1755","204251","204251","204251","1690","1690","1690","204274","204274","204274","1767","1767","1767"
"1711","106054","106054","106054","1476","1476","1476","105950","105950","105950","1707","1707","1707","105848","105848","105848","1718","1718","1718","105764","105764","105764","1585","1585","1585","204164","204164","204164","1624","1624","1624","204473","204473","204473","1543","1543","1543","204255","204255","204255","1475","1475","1475","204278","204278","204278","1479","1479","1479"
"1712","106058","106058","106058","1456","1456","1456","105954","105954","105954","1491","1491","1491","105852","105852","105852","1719","1719","1719","105768","105768","105768","1624","1624","1624","204168","204168","204168","1472","1472","1472","204477","204477","204477","1999","1999","1999","204259","204259","204259","1474","1474","1474","204282","204282","204282","1567","1567","1567"
"1713","106062","106062","106062","1485","1485","1485","105958","105958","105958","1129","1129","1129","105856","105856","105856","1150","1150","1150","105772","105772","105772","1056","1056","1056","204172","204172","204172","1202","1202","1202","204481","204481","204481","1047","1047","1047","204263","204263","204263","1151","1151","1151","204286","204286","204286","1040","1040","1040"
"1714","106066","106066","106066","1283","1283","1283","105962","105962","105962","1208","1208","1208","105860","105860","105860","1207","1207","1207","105776","105776","105776","1228","1228","1228","204176","204176","204176","1164","1164","1164","204485","204485","204485","1194","1194","1194","204267","204267","204267","1162","1162","1162","204290","204290","204290","1171","1171","1171"
"1715","106070","106070","106070","1189","1189","1189","105966","105966","105966","1256","1256","1256","105864","105864","105864","1288","1288","1288","105780","105780","105780","1305","1305","1305","204180","204180","204180","1165","1165","1165","204489","204489","204489","1177","1177","1177","204271","204271","204271","1181","1181","1181","204294","204294","204294","1262","1262","1262"
"1716","106074","106074","106074","1386","1386","1386","105970","105970","105970","1126","1126","1126","105868","105868","105868","1112","1112","1112","105784","105784","105784","1139","1139","1139","204184","204184","204184","1056","1056","1056","204493","204493","204493","989","989","989","204275","204275","204275","1152","1152","1152","204298","204298","204298","1041","1041","1041"
"1717","106078","106078","106078","1150","1150","1150","105974","105974","105974","1154","1154","1154","105872","105872","105872","1169","1169","1169","105788","105788","105788","1107","1107","1107","204188","204188","204188","1158","1158","1158","204497","204497","204497","1169","1169","1169","204279","204279","204279","1141","1141","1141","204302","204302","204302","1147","1147","1147"
"1718","106082","106082","106082","1099","1099","1099","105978","105978","105978","1140","1140","1140","105876","105876","105876","1153","1153","1153","105792","105792","105792","1157","1157","1157","204192","204192","204192","1143","1143","1143","204501","204501","204501","1144","1144","1144","204283","204283","204283","1153","1153","1153","204306","204306","204306","1109","1109","1109"
"1719","106602","106602","106602","1862","1862","1862","106499","106499","106499","1589","1589","1589","106397","106397","106397","1583","1583","1583","106313","106313","106313","1599","1599","1599","205228","205228","205228","1569","1569","1569","205541","205541","205541","1700","1700","1700","205319","205319","205319","1704","1704","1704","205347","205347","205347","1801","1801","1801"
"1720","106606","106606","106606","1473","1473","1473","106503","106503","106503","1518","1518","1518","106401","106401","106401","1734","1734","1734","106317","106317","106317","1527","1527","1527","205232","205232","205232","1469","1469","1469","205545","205545","205545","1782","1782","1782","205323","205323","205323","1429","1429","1429","205351","205351","205351","1665","1665","1665"
"1721","106610","106610","106610","1466","1466","1466","106507","106507","106507","1736","1736","1736","106405","106405","106405","1700","1700","1700","106321","106321","106321","1667","1667","1667","205236","205236","205236","1505","1505","1505","205549","205549","205549","1539","1539","1539","205327","205327","205327","1472","1472","1472","205355","205355","205355","1521","1521","1521"
"1722","106614","106614","106614","1402","1402","1402","106511","106511","106511","1285","1285","1285","106409","106409","106409","1142","1142","1142","106325","106325","106325","1098","1098","1098","205240","205240","205240","1134","1134","1134","205553","205553","205553","1054","1054","1054","205331","205331","205331","1073","1073","1073","205359","205359","205359","1376","1376","1376"
"1723","106618","106618","106618","1240","1240","1240","106515","106515","106515","1187","1187","1187","106413","106413","106413","1199","1199","1199","106329","106329","106329","1194","1194","1194","205244","205244","205244","1083","1083","1083","205557","205557","205557","1232","1232","1232","205335","205335","205335","1139","1139","1139","205363","205363","205363","1174","1174","1174"
"1724","106622","106622","106622","1187","1187","1187","106519","106519","106519","1332","1332","1332","106417","106417","106417","1294","1294","1294","106333","106333","106333","1244","1244","1244","205248","205248","205248","1173","1173","1173","205561","205561","205561","1170","1170","1170","205339","205339","205339","1162","1162","1162","205367","205367","205367","1174","1174","1174"
"1725","106626","106626","106626","1494","1494","1494","106523","106523","106523","1129","1129","1129","106421","106421","106421","1143","1143","1143","106337","106337","106337","1104","1104","1104","205252","205252","205252","1040","1040","1040","205565","205565","205565","1167","1167","1167","205343","205343","205343","1124","1124","1124","205371","205371","205371","1055","1055","1055"
"1726","106630","106630","106630","1147","1147","1147","106527","106527","106527","1164","1164","1164","106425","106425","106425","1123","1123","1123","106341","106341","106341","1112","1112","1112","205256","205256","205256","1118","1118","1118","205569","205569","205569","1123","1123","1123","205347","205347","205347","1141","1141","1141","205375","205375","205375","1142","1142","1142"
"1727","106634","106634","106634","1150","1150","1150","106531","106531","106531","1125","1125","1125","106429","106429","106429","1143","1143","1143","106345","106345","106345","1160","1160","1160","205260","205260","205260","1119","1119","1119","205573","205573","205573","1109","1109","1109","205351","205351","205351","1151","1151","1151","205379","205379","205379","1115","1115","1115"
"1728","107155","107155","107155","1862","1862","1862","107051","107051","107051","1602","1602","1602","106949","106949","106949","1611","1611","1611","106865","106865","106865","1595","1595","1595","206296","206296","206296","1678","1678","1678","206614","206614","206614","1780","1780","1780","206387","206387","206387","1729","1729","1729","206416","206416","206416","1737","1737","1737"
"1729","107159","107159","107159","1481","1481","1481","107055","107055","107055","1710","1710","1710","106953","106953","106953","1722","1722","1722","106869","106869","106869","1534","1534","1534","206300","206300","206300","1436","1436","1436","206618","206618","206618","1509","1509","1509","206391","206391","206391","1444","1444","1444","206420","206420","206420","1544","1544","1544"
"1730","107163","107163","107163","1483","1483","1483","107059","107059","107059","1492","1492","1492","106957","106957","106957","1729","1729","1729","106873","106873","106873","1520","1520","1520","206304","206304","206304","1484","1484","1484","206622","206622","206622","1702","1702","1702","206395","206395","206395","1470","1470","1470","206424","206424","206424","1570","1570","1570"
"1731","107167","107167","107167","1394","1394","1394","107063","107063","107063","1140","1140","1140","106961","106961","106961","1279","1279","1279","106877","106877","106877","1159","1159","1159","206308","206308","206308","1060","1060","1060","206626","206626","206626","1262","1262","1262","206399","206399","206399","1207","1207","1207","206428","206428","206428","1087","1087","1087"
"1732","107171","107171","107171","1190","1190","1190","107067","107067","107067","1202","1202","1202","106965","106965","106965","1232","1232","1232","106881","106881","106881","1228","1228","1228","206312","206312","206312","1163","1163","1163","206630","206630","206630","1192","1192","1192","206403","206403","206403","1176","1176","1176","206432","206432","206432","1169","1169","1169"
"1733","107175","107175","107175","1191","1191","1191","107071","107071","107071","1291","1291","1291","106969","106969","106969","1291","1291","1291","106885","106885","106885","1254","1254","1254","206316","206316","206316","1179","1179","1179","206634","206634","206634","1162","1162","1162","206407","206407","206407","1168","1168","1168","206436","206436","206436","1178","1178","1178"
"1734","107179","107179","107179","1509","1509","1509","107075","107075","107075","1251","1251","1251","106973","106973","106973","1015","1015","1015","106889","106889","106889","1167","1167","1167","206320","206320","206320","1147","1147","1147","206638","206638","206638","1178","1178","1178","206411","206411","206411","1161","1161","1161","206440","206440","206440","1065","1065","1065"
"1735","107183","107183","107183","1127","1127","1127","107079","107079","107079","1156","1156","1156","106977","106977","106977","1142","1142","1142","106893","106893","106893","1157","1157","1157","206324","206324","206324","1138","1138","1138","206642","206642","206642","1124","1124","1124","206415","206415","206415","1166","1166","1166","206444","206444","206444","1145","1145","1145"
"1736","107187","107187","107187","1116","1116","1116","107083","107083","107083","1101","1101","1101","106981","106981","106981","1141","1141","1141","106897","106897","106897","1154","1154","1154","206328","206328","206328","1133","1133","1133","206646","206646","206646","1107","1107","1107","206419","206419","206419","1140","1140","1140","206448","206448","206448","1152","1152","1152"
"1737","107707","107707","107707","1728","1728","1728","107604","107604","107604","1564","1564","1564","107502","107502","107502","1568","1568","1568","107418","107418","107418","1697","1697","1697","207364","207364","207364","1660","1660","1660","207692","207692","207692","1737","1737","1737","207455","207455","207455","1785","1785","1785","207484","207484","207484","1661","1661","1661"
"1738","107711","107711","107711","1482","1482","1482","107608","107608","107608","1584","1584","1584","107506","107506","107506","1706","1706","1706","107422","107422","107422","1757","1757","1757","207368","207368","207368","1541","1541","1541","207696","207696","207696","1537","1537","1537","207459","207459","207459","1416","1416","1416","207488","207488","207488","1557","1557","1557"
"1739","107715","107715","107715","1476","1476","1476","107612","107612","107612","1735","1735","1735","107510","107510","107510","1715","1715","1715","107426","107426","107426","1743","1743","1743","207372","207372","207372","1468","1468","1468","207700","207700","207700","1470","1470","1470","207463","207463","207463","1999","1999","1999","207492","207492","207492","1699","1699","1699"
"1740","107719","107719","107719","1424","1424","1424","107616","107616","107616","1289","1289","1289","107514","107514","107514","1334","1334","1334","107430","107430","107430","1047","1047","1047","207376","207376","207376","1162","1162","1162","207704","207704","207704","1194","1194","1194","207467","207467","207467","1185","1185","1185","207496","207496","207496","1382","1382","1382"
"1741","107723","107723","107723","1212","1212","1212","107620","107620","107620","1252","1252","1252","107518","107518","107518","1232","1232","1232","107434","107434","107434","1204","1204","1204","207380","207380","207380","1164","1164","1164","207708","207708","207708","1177","1177","1177","207471","207471","207471","1188","1188","1188","207500","207500","207500","1214","1214","1214"
"1742","107727","107727","107727","1180","1180","1180","107624","107624","107624","1304","1304","1304","107522","107522","107522","1307","1307","1307","107438","107438","107438","1257","1257","1257","207384","207384","207384","1166","1166","1166","207712","207712","207712","1186","1186","1186","207475","207475","207475","1177","1177","1177","207504","207504","207504","1162","1162","1162"
"1743","107731","107731","107731","1497","1497","1497","107628","107628","107628","1018","1018","1018","107526","107526","107526","1139","1139","1139","107442","107442","107442","1123","1123","1123","207388","207388","207388","1062","1062","1062","207716","207716","207716","1222","1222","1222","207479","207479","207479","1145","1145","1145","207508","207508","207508","1068","1068","1068"
"1744","107735","107735","107735","1156","1156","1156","107632","107632","107632","1116","1116","1116","107530","107530","107530","1153","1153","1153","107446","107446","107446","1150","1150","1150","207392","207392","207392","1122","1122","1122","207720","207720","207720","964","964","964","207483","207483","207483","1147","1147","1147","207512","207512","207512","1140","1140","1140"
"1745","107739","107739","107739","1149","1149","1149","107636","107636","107636","1119","1119","1119","107534","107534","107534","1152","1152","1152","107450","107450","107450","1112","1112","1112","207396","207396","207396","1147","1147","1147","207724","207724","207724","1149","1149","1149","207487","207487","207487","1149","1149","1149","207516","207516","207516","1114","1114","1114"
"1746","108267","108267","108267","1772","1772","1772","108159","108159","108159","1588","1588","1588","108055","108055","108055","1610","1610","1610","107970","107970","107970","1596","1596","1596","208432","208432","208432","1665","1665","1665","208765","208765","208765","1772","1772","1772","208522","208522","208522","1886","1886","1886","208552","208552","208552","1694","1694","1694"
"1747","108271","108271","108271","1464","1464","1464","108163","108163","108163","1535","1535","1535","108059","108059","108059","1722","1722","1722","107974","107974","107974","1523","1523","1523","208436","208436","208436","1609","1609","1609","208769","208769","208769","1478","1478","1478","208526","208526","208526","1346","1346","1346","208556","208556","208556","1561","1561","1561"
"1748","108275","108275","108275","1479","1479","1479","108167","108167","108167","1597","1597","1597","108063","108063","108063","1724","1724","1724","107978","107978","107978","1538","1538","1538","208440","208440","208440","1533","1533","1533","208773","208773","208773","1681","1681","1681","208530","208530","208530","1502","1502","1502","208560","208560","208560","1616","1616","1616"
"1749","108279","108279","108279","1414","1414","1414","108171","108171","108171","1279","1279","1279","108067","108067","108067","1280","1280","1280","107982","107982","107982","1286","1286","1286","208444","208444","208444","1145","1145","1145","208777","208777","208777","1061","1061","1061","208534","208534","208534","1407","1407","1407","208564","208564","208564","1288","1288","1288"
"1750","108283","108283","108283","1208","1208","1208","108175","108175","108175","1258","1258","1258","108071","108071","108071","1199","1199","1199","107986","107986","107986","1216","1216","1216","208448","208448","208448","1167","1167","1167","208781","208781","208781","1181","1181","1181","208538","208538","208538","1086","1086","1086","208568","208568","208568","1186","1186","1186"
"1751","108287","108287","108287","1225","1225","1225","108179","108179","108179","1318","1318","1318","108075","108075","108075","1256","1256","1256","107990","107990","107990","1301","1301","1301","208452","208452","208452","1176","1176","1176","208785","208785","208785","1164","1164","1164","208542","208542","208542","1168","1168","1168","208572","208572","208572","1174","1174","1174"
"1752","108291","108291","108291","1352","1352","1352","108183","108183","108183","1017","1017","1017","108079","108079","108079","1103","1103","1103","107994","107994","107994","1157","1157","1157","208456","208456","208456","1213","1213","1213","208789","208789","208789","996","996","996","208546","208546","208546","1158","1158","1158","208576","208576","208576","1145","1145","1145"
"1753","108295","108295","108295","1132","1132","1132","108187","108187","108187","1165","1165","1165","108083","108083","108083","955","955","955","107998","107998","107998","1113","1113","1113","208460","208460","208460","1119","1119","1119","208793","208793","208793","1140","1140","1140","208550","208550","208550","1159","1159","1159","208580","208580","208580","1096","1096","1096"
"1754","108299","108299","108299","1156","1156","1156","108191","108191","108191","1124","1124","1124","108087","108087","108087","1134","1134","1134","108002","108002","108002","1123","1123","1123","208464","208464","208464","1145","1145","1145","208797","208797","208797","1145","1145","1145","208554","208554","208554","1100","1100","1100","208584","208584","208584","1159","1159","1159"
"1755","108820","108820","108820","1845","1845","1845","108712","108712","108712","1575","1575","1575","108607","108607","108607","1602","1602","1602","108523","108523","108523","1604","1604","1604","209500","209500","209500","1653","1653","1653","209834","209834","209834","1756","1756","1756","209595","209595","209595","1731","1731","1731","209620","209620","209620","1671","1671","1671"
"1756","108824","108824","108824","1591","1591","1591","108716","108716","108716","1726","1726","1726","108611","108611","108611","1731","1731","1731","108527","108527","108527","1534","1534","1534","209504","209504","209504","1544","1544","1544","209838","209838","209838","1675","1675","1675","209599","209599","209599","1423","1423","1423","209624","209624","209624","1466","1466","1466"
"1757","108828","108828","108828","1471","1471","1471","108720","108720","108720","1512","1512","1512","108615","108615","108615","1732","1732","1732","108531","108531","108531","1612","1612","1612","209508","209508","209508","1521","1521","1521","209842","209842","209842","1520","1520","1520","209603","209603","209603","1472","1472","1472","209628","209628","209628","1508","1508","1508"
"1758","108832","108832","108832","1349","1349","1349","108724","108724","108724","1148","1148","1148","108619","108619","108619","1279","1279","1279","108535","108535","108535","1799","1799","1799","209512","209512","209512","1168","1168","1168","209846","209846","209846","1069","1069","1069","209607","209607","209607","1385","1385","1385","209632","209632","209632","1248","1248","1248"
"1759","108836","108836","108836","1206","1206","1206","108728","108728","108728","1246","1246","1246","108623","108623","108623","1205","1205","1205","108539","108539","108539","1214","1214","1214","209516","209516","209516","1109","1109","1109","209850","209850","209850","1179","1179","1179","209611","209611","209611","1182","1182","1182","209636","209636","209636","1214","1214","1214"
"1760","108840","108840","108840","1204","1204","1204","108732","108732","108732","1242","1242","1242","108627","108627","108627","1303","1303","1303","108543","108543","108543","1273","1273","1273","209520","209520","209520","1160","1160","1160","209854","209854","209854","1167","1167","1167","209615","209615","209615","1167","1167","1167","209640","209640","209640","1179","1179","1179"
"1761","108844","108844","108844","1498","1498","1498","108736","108736","108736","1101","1101","1101","108631","108631","108631","1024","1024","1024","108547","108547","108547","1114","1114","1114","209524","209524","209524","1065","1065","1065","209858","209858","209858","1041","1041","1041","209619","209619","209619","1165","1165","1165","209644","209644","209644","1220","1220","1220"
"1762","108848","108848","108848","1120","1120","1120","108740","108740","108740","1155","1155","1155","108635","108635","108635","1160","1160","1160","108551","108551","108551","1148","1148","1148","209528","209528","209528","1135","1135","1135","209862","209862","209862","1160","1160","1160","209623","209623","209623","1147","1147","1147","209648","209648","209648","1119","1119","1119"
"1763","108852","108852","108852","1155","1155","1155","108744","108744","108744","1155","1155","1155","108639","108639","108639","1157","1157","1157","108555","108555","108555","1159","1159","1159","209532","209532","209532","1144","1144","1144","209866","209866","209866","1137","1137","1137","209627","209627","209627","1152","1152","1152","209652","209652","209652","1160","1160","1160"
"1764","109372","109372","109372","1762","1762","1762","109266","109266","109266","1699","1699","1699","109160","109160","109160","1592","1592","1592","109074","109074","109074","1584","1584","1584","210568","210568","210568","1763","1763","1763","210902","210902","210902","1861","1861","1861","210663","210663","210663","1774","1774","1774","210689","210689","210689","1714","1714","1714"
"1765","109376","109376","109376","1475","1475","1475","109270","109270","109270","1515","1515","1515","109164","109164","109164","1721","1721","1721","109078","109078","109078","1741","1741","1741","210572","210572","210572","1547","1547","1547","210906","210906","210906","1641","1641","1641","210667","210667","210667","1683","1683","1683","210693","210693","210693","1508","1508","1508"
"1766","109380","109380","109380","1465","1465","1465","109274","109274","109274","1735","1735","1735","109168","109168","109168","1690","1690","1690","109082","109082","109082","1558","1558","1558","210576","210576","210576","1531","1531","1531","210910","210910","210910","1681","1681","1681","210671","210671","210671","1643","1643","1643","210697","210697","210697","1550","1550","1550"
"1767","109384","109384","109384","1564","1564","1564","109278","109278","109278","1142","1142","1142","109172","109172","109172","1287","1287","1287","109086","109086","109086","1302","1302","1302","210580","210580","210580","1066","1066","1066","210914","210914","210914","1192","1192","1192","210675","210675","210675","1228","1228","1228","210701","210701","210701","1246","1246","1246"
"1768","109388","109388","109388","1201","1201","1201","109282","109282","109282","1237","1237","1237","109176","109176","109176","1229","1229","1229","109090","109090","109090","1202","1202","1202","210584","210584","210584","1173","1173","1173","210918","210918","210918","1178","1178","1178","210679","210679","210679","1167","1167","1167","210705","210705","210705","1180","1180","1180"
"1769","109392","109392","109392","1180","1180","1180","109286","109286","109286","1290","1290","1290","109180","109180","109180","1286","1286","1286","109094","109094","109094","1252","1252","1252","210588","210588","210588","1166","1166","1166","210922","210922","210922","1150","1150","1150","210683","210683","210683","1178","1178","1178","210709","210709","210709","1175","1175","1175"
"1770","109396","109396","109396","1498","1498","1498","109290","109290","109290","1125","1125","1125","109184","109184","109184","1134","1134","1134","109098","109098","109098","1124","1124","1124","210592","210592","210592","1036","1036","1036","210926","210926","210926","1019","1019","1019","210687","210687","210687","1037","1037","1037","210713","210713","210713","1047","1047","1047"
"1771","109400","109400","109400","1155","1155","1155","109294","109294","109294","952","952","952","109188","109188","109188","1150","1150","1150","109102","109102","109102","1021","1021","1021","210596","210596","210596","1154","1154","1154","210930","210930","210930","1117","1117","1117","210691","210691","210691","1155","1155","1155","210717","210717","210717","1165","1165","1165"
"1772","109404","109404","109404","1149","1149","1149","109298","109298","109298","1150","1150","1150","109192","109192","109192","1115","1115","1115","109106","109106","109106","1173","1173","1173","210600","210600","210600","1144","1144","1144","210934","210934","210934","1144","1144","1144","210695","210695","210695","1137","1137","1137","210721","210721","210721","1148","1148","1148"
"1773","109925","109925","109925","1865","1865","1865","109818","109818","109818","1596","1596","1596","109712","109712","109712","1613","1613","1613","109627","109627","109627","1577","1577","1577","211636","211636","211636","1643","1643","1643","211970","211970","211970","1679","1679","1679","211731","211731","211731","1766","1766","1766","211767","211767","211767","1635","1635","1635"
"1774","109929","109929","109929","1487","1487","1487","109822","109822","109822","1725","1725","1725","109716","109716","109716","1737","1737","1737","109631","109631","109631","1677","1677","1677","211640","211640","211640","1539","1539","1539","211974","211974","211974","1824","1824","1824","211735","211735","211735","1579","1579","1579","211771","211771","211771","1632","1632","1632"
"1775","109933","109933","109933","1482","1482","1482","109826","109826","109826","1495","1495","1495","109720","109720","109720","1725","1725","1725","109635","109635","109635","1677","1677","1677","211644","211644","211644","1524","1524","1524","211978","211978","211978","1509","1509","1509","211739","211739","211739","1573","1573","1573","211775","211775","211775","1464","1464","1464"
"1776","109937","109937","109937","1402","1402","1402","109830","109830","109830","1147","1147","1147","109724","109724","109724","1285","1285","1285","109639","109639","109639","1126","1126","1126","211648","211648","211648","1034","1034","1034","211982","211982","211982","1050","1050","1050","211743","211743","211743","1212","1212","1212","211779","211779","211779","1049","1049","1049"
"1777","109941","109941","109941","1178","1178","1178","109834","109834","109834","1210","1210","1210","109728","109728","109728","1199","1199","1199","109643","109643","109643","1243","1243","1243","211652","211652","211652","1177","1177","1177","211986","211986","211986","1158","1158","1158","211747","211747","211747","1191","1191","1191","211783","211783","211783","1267","1267","1267"
"1778","109945","109945","109945","1142","1142","1142","109838","109838","109838","1279","1279","1279","109732","109732","109732","1290","1290","1290","109647","109647","109647","1321","1321","1321","211656","211656","211656","1175","1175","1175","211990","211990","211990","1158","1158","1158","211751","211751","211751","1165","1165","1165","211787","211787","211787","1251","1251","1251"
"1779","109949","109949","109949","1500","1500","1500","109842","109842","109842","1174","1174","1174","109736","109736","109736","1119","1119","1119","109651","109651","109651","1039","1039","1039","211660","211660","211660","1063","1063","1063","211994","211994","211994","1173","1173","1173","211755","211755","211755","1141","1141","1141","211791","211791","211791","1067","1067","1067"
"1780","109953","109953","109953","1158","1158","1158","109846","109846","109846","1135","1135","1135","109740","109740","109740","1131","1131","1131","109655","109655","109655","1162","1162","1162","211664","211664","211664","968","968","968","211998","211998","211998","933","933","933","211759","211759","211759","1129","1129","1129","211795","211795","211795","1143","1143","1143"
"1781","109957","109957","109957","1149","1149","1149","109850","109850","109850","1154","1154","1154","109744","109744","109744","1156","1156","1156","109659","109659","109659","1139","1139","1139","211668","211668","211668","1134","1134","1134","212002","212002","212002","1155","1155","1155","211763","211763","211763","1147","1147","1147","211799","211799","211799","1103","1103","1103"
"1782","110477","110477","110477","1873","1873","1873","110371","110371","110371","1599","1599","1599","110265","110265","110265","1583","1583","1583","110179","110179","110179","1569","1569","1569","212704","212704","212704","1668","1668","1668","213039","213039","213039","1683","1683","1683","212799","212799","212799","1698","1698","1698","212835","212835","212835","1640","1640","1640"
"1783","110481","110481","110481","1521","1521","1521","110375","110375","110375","1590","1590","1590","110269","110269","110269","1726","1726","1726","110183","110183","110183","1516","1516","1516","212708","212708","212708","1471","1471","1471","213043","213043","213043","1409","1409","1409","212803","212803","212803","1524","1524","1524","212839","212839","212839","1549","1549","1549"
"1784","110485","110485","110485","1475","1475","1475","110379","110379","110379","1595","1595","1595","110273","110273","110273","1722","1722","1722","110187","110187","110187","1521","1521","1521","212712","212712","212712","1555","1555","1555","213047","213047","213047","1660","1660","1660","212807","212807","212807","1469","1469","1469","212843","212843","212843","1548","1548","1548"
"1785","110489","110489","110489","1391","1391","1391","110383","110383","110383","1360","1360","1360","110277","110277","110277","1280","1280","1280","110191","110191","110191","1281","1281","1281","212716","212716","212716","1194","1194","1194","213051","213051","213051","1799","1799","1799","212811","212811","212811","1070","1070","1070","212847","212847","212847","1083","1083","1083"
"1786","110493","110493","110493","1178","1178","1178","110387","110387","110387","1227","1227","1227","110281","110281","110281","1190","1190","1190","110195","110195","110195","1198","1198","1198","212720","212720","212720","1190","1190","1190","213055","213055","213055","1165","1165","1165","212815","212815","212815","1159","1159","1159","212851","212851","212851","1183","1183","1183"
