"Evaluate/step_episode","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MAX","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_kf","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_kf","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_kf","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - _step","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_kf","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - _step","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_kf","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_kf","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_kf","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_kf","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX"
"199","1002","1002","1002","0.061946138739585876","0.061946138739585876","0.061946138739585876","1202","1202","1202","0.07935847342014313","0.07935847342014313","0.07935847342014313","1202","1202","1202","0.06924829632043839","0.06924829632043839","0.06924829632043839","1202","1202","1202","0.07200204581022263","0.07200204581022263","0.07200204581022263","1202","1202","1202","0.07307767122983932","0.07307767122983932","0.07307767122983932","1002","1002","1002","0.06791304796934128","0.06791304796934128","0.06791304796934128","1202","1202","1202","0.07075529545545578","0.07075529545545578","0.07075529545545578","1202","1202","1202","0.0812104195356369","0.0812104195356369","0.0812104195356369"
"200","1007","1007","1007","0.07132408022880554","0.07132408022880554","0.07132408022880554","1208","1208","1208","0.0678945928812027","0.0678945928812027","0.0678945928812027","1208","1208","1208","0.06115780770778656","0.06115780770778656","0.06115780770778656","1208","1208","1208","0.08672265708446503","0.08672265708446503","0.08672265708446503","1208","1208","1208","0.08927658200263977","0.08927658200263977","0.08927658200263977","1007","1007","1007","0.0791083425283432","0.0791083425283432","0.0791083425283432","1208","1208","1208","0.06722652912139893","0.06722652912139893","0.06722652912139893","1208","1208","1208","0.06659278273582458","0.06659278273582458","0.06659278273582458"
"201","1012","1012","1012","0.07090495526790619","0.07090495526790619","0.07090495526790619","1214","1214","1214","0.07224283367395401","0.07224283367395401","0.07224283367395401","1214","1214","1214","0.07608329504728317","0.07608329504728317","0.07608329504728317","1214","1214","1214","0.057732176035642624","0.057732176035642624","0.057732176035642624","1214","1214","1214","0.058140382170677185","0.058140382170677185","0.058140382170677185","1012","1012","1012","0.07513342797756195","0.07513342797756195","0.07513342797756195","1214","1214","1214","0.05557455122470856","0.05557455122470856","0.05557455122470856","1214","1214","1214","0.08959922939538956","0.08959922939538956","0.08959922939538956"
"202","1017","1017","1017","0.04889864847064018","0.04889864847064018","0.04889864847064018","1220","1220","1220","0.08284972608089447","0.08284972608089447","0.08284972608089447","1220","1220","1220","0.08225492388010025","0.08225492388010025","0.08225492388010025","1220","1220","1220","0.054552145302295685","0.054552145302295685","0.054552145302295685","1220","1220","1220","0.059480294585227966","0.059480294585227966","0.059480294585227966","1017","1017","1017","0.06730706989765167","0.06730706989765167","0.06730706989765167","1220","1220","1220","0.09508559107780457","0.09508559107780457","0.09508559107780457","1220","1220","1220","0.10375462472438812","0.10375462472438812","0.10375462472438812"
"203","1022","1022","1022","0.06835434585809708","0.06835434585809708","0.06835434585809708","1226","1226","1226","0.07982698082923889","0.07982698082923889","0.07982698082923889","1226","1226","1226","0.054976001381874084","0.054976001381874084","0.054976001381874084","1226","1226","1226","0.0749790370464325","0.0749790370464325","0.0749790370464325","1226","1226","1226","0.07876387238502502","0.07876387238502502","0.07876387238502502","1022","1022","1022","0.06764255464076996","0.06764255464076996","0.06764255464076996","1226","1226","1226","0.07465611398220062","0.07465611398220062","0.07465611398220062","1226","1226","1226","0.07370314747095108","0.07370314747095108","0.07370314747095108"
"204","1027","1027","1027","0.07127904146909714","0.07127904146909714","0.07127904146909714","1232","1232","1232","0.07915531098842621","0.07915531098842621","0.07915531098842621","1232","1232","1232","0.06065492331981659","0.06065492331981659","0.06065492331981659","1232","1232","1232","0.0697111040353775","0.0697111040353775","0.0697111040353775","1232","1232","1232","0.07850658148527145","0.07850658148527145","0.07850658148527145","1027","1027","1027","0.06698691844940186","0.06698691844940186","0.06698691844940186","1232","1232","1232","0.06237764656543732","0.06237764656543732","0.06237764656543732","1232","1232","1232","0.08104625344276428","0.08104625344276428","0.08104625344276428"
"205","1032","1032","1032","0.059346336871385574","0.059346336871385574","0.059346336871385574","1238","1238","1238","0.09628402441740036","0.09628402441740036","0.09628402441740036","1238","1238","1238","0.07141601294279099","0.07141601294279099","0.07141601294279099","1238","1238","1238","0.09168447554111481","0.09168447554111481","0.09168447554111481","1238","1238","1238","0.08107182383537292","0.08107182383537292","0.08107182383537292","1032","1032","1032","0.07745552808046341","0.07745552808046341","0.07745552808046341","1238","1238","1238","0.08505672216415405","0.08505672216415405","0.08505672216415405","1238","1238","1238","0.055309634655714035","0.055309634655714035","0.055309634655714035"
"206","1037","1037","1037","0.07083480805158615","0.07083480805158615","0.07083480805158615","1244","1244","1244","0.07516850531101227","0.07516850531101227","0.07516850531101227","1244","1244","1244","0.07636725902557373","0.07636725902557373","0.07636725902557373","1244","1244","1244","0.08424346148967743","0.08424346148967743","0.08424346148967743","1244","1244","1244","0.07308169454336166","0.07308169454336166","0.07308169454336166","1037","1037","1037","0.08470931649208069","0.08470931649208069","0.08470931649208069","1244","1244","1244","0.07128357142210007","0.07128357142210007","0.07128357142210007","1244","1244","1244","0.05455440282821655","0.05455440282821655","0.05455440282821655"
"207","1042","1042","1042","0.05563868582248688","0.05563868582248688","0.05563868582248688","1250","1250","1250","0.07706301659345627","0.07706301659345627","0.07706301659345627","1250","1250","1250","0.06498753279447556","0.06498753279447556","0.06498753279447556","1250","1250","1250","0.07418085634708405","0.07418085634708405","0.07418085634708405","1250","1250","1250","0.08560590445995331","0.08560590445995331","0.08560590445995331","1042","1042","1042","0.07194686681032181","0.07194686681032181","0.07194686681032181","1250","1250","1250","0.0754893496632576","0.0754893496632576","0.0754893496632576","1250","1250","1250","0.07211238890886307","0.07211238890886307","0.07211238890886307"
"208","1047","1047","1047","0.06231102719902992","0.06231102719902992","0.06231102719902992","1256","1256","1256","0.07144308090209961","0.07144308090209961","0.07144308090209961","1256","1256","1256","0.07801273465156555","0.07801273465156555","0.07801273465156555","1256","1256","1256","0.07733158767223358","0.07733158767223358","0.07733158767223358","1256","1256","1256","0.08371754735708237","0.08371754735708237","0.08371754735708237","1047","1047","1047","0.07290130108594894","0.07290130108594894","0.07290130108594894","1256","1256","1256","0.06220810115337372","0.06220810115337372","0.06220810115337372","1256","1256","1256","0.07808223366737366","0.07808223366737366","0.07808223366737366"
"209","1052","1052","1052","0.0703418031334877","0.0703418031334877","0.0703418031334877","1262","1262","1262","0.07683759182691574","0.07683759182691574","0.07683759182691574","1262","1262","1262","0.09982433170080185","0.09982433170080185","0.09982433170080185","1262","1262","1262","0.06614985316991806","0.06614985316991806","0.06614985316991806","1262","1262","1262","0.08353571593761444","0.08353571593761444","0.08353571593761444","1052","1052","1052","0.05497416481375694","0.05497416481375694","0.05497416481375694","1262","1262","1262","0.08471919596195221","0.08471919596195221","0.08471919596195221","1262","1262","1262","0.061095189303159714","0.061095189303159714","0.061095189303159714"
"210","1057","1057","1057","0.07259266078472137","0.07259266078472137","0.07259266078472137","1268","1268","1268","0.054220810532569885","0.054220810532569885","0.054220810532569885","1268","1268","1268","0.09122607856988907","0.09122607856988907","0.09122607856988907","1268","1268","1268","0.07544025033712387","0.07544025033712387","0.07544025033712387","1268","1268","1268","0.07411675900220871","0.07411675900220871","0.07411675900220871","1057","1057","1057","0.06977204233407974","0.06977204233407974","0.06977204233407974","1268","1268","1268","0.07060956209897995","0.07060956209897995","0.07060956209897995","1268","1268","1268","0.09084992855787277","0.09084992855787277","0.09084992855787277"
"211","1062","1062","1062","0.08974967896938324","0.08974967896938324","0.08974967896938324","1274","1274","1274","0.08333957195281982","0.08333957195281982","0.08333957195281982","1274","1274","1274","0.09446356445550919","0.09446356445550919","0.09446356445550919","1274","1274","1274","0.07404465228319168","0.07404465228319168","0.07404465228319168","1274","1274","1274","0.07324515283107758","0.07324515283107758","0.07324515283107758","1062","1062","1062","0.06335721164941788","0.06335721164941788","0.06335721164941788","1274","1274","1274","0.06904615461826324","0.06904615461826324","0.06904615461826324","1274","1274","1274","0.058847080916166306","0.058847080916166306","0.058847080916166306"
"212","1067","1067","1067","0.063114233314991","0.063114233314991","0.063114233314991","1280","1280","1280","0.07499430328607559","0.07499430328607559","0.07499430328607559","1280","1280","1280","0.09005197137594223","0.09005197137594223","0.09005197137594223","1280","1280","1280","0.07555130869150162","0.07555130869150162","0.07555130869150162","1280","1280","1280","0.08293905109167099","0.08293905109167099","0.08293905109167099","1067","1067","1067","0.07943186163902283","0.07943186163902283","0.07943186163902283","1280","1280","1280","0.055971659719944","0.055971659719944","0.055971659719944","1280","1280","1280","0.07312920689582825","0.07312920689582825","0.07312920689582825"
"213","1072","1072","1072","0.0730045884847641","0.0730045884847641","0.0730045884847641","1286","1286","1286","0.09370917826890945","0.09370917826890945","0.09370917826890945","1286","1286","1286","0.08766795694828033","0.08766795694828033","0.08766795694828033","1286","1286","1286","0.07420788705348969","0.07420788705348969","0.07420788705348969","1286","1286","1286","0.08208819478750229","0.08208819478750229","0.08208819478750229","1072","1072","1072","0.07506339251995087","0.07506339251995087","0.07506339251995087","1286","1286","1286","0.08447490632534027","0.08447490632534027","0.08447490632534027","1286","1286","1286","0.06283010542392731","0.06283010542392731","0.06283010542392731"
"214","1077","1077","1077","0.060849614441394806","0.060849614441394806","0.060849614441394806","1292","1292","1292","0.08229467272758484","0.08229467272758484","0.08229467272758484","1292","1292","1292","0.056174349039793015","0.056174349039793015","0.056174349039793015","1292","1292","1292","0.07637686282396317","0.07637686282396317","0.07637686282396317","1292","1292","1292","0.07408075779676437","0.07408075779676437","0.07408075779676437","1077","1077","1077","0.08236327767372131","0.08236327767372131","0.08236327767372131","1292","1292","1292","0.07006590068340302","0.07006590068340302","0.07006590068340302","1292","1292","1292","0.0776686742901802","0.0776686742901802","0.0776686742901802"
"215","1082","1082","1082","0.07514425367116928","0.07514425367116928","0.07514425367116928","1298","1298","1298","0.06699388474225998","0.06699388474225998","0.06699388474225998","1298","1298","1298","0.07198033481836319","0.07198033481836319","0.07198033481836319","1298","1298","1298","0.06193788722157478","0.06193788722157478","0.06193788722157478","1298","1298","1298","0.0770006999373436","0.0770006999373436","0.0770006999373436","1082","1082","1082","0.0700693428516388","0.0700693428516388","0.0700693428516388","1298","1298","1298","0.06518304347991943","0.06518304347991943","0.06518304347991943","1298","1298","1298","0.06413449347019196","0.06413449347019196","0.06413449347019196"
"216","1087","1087","1087","0.0673646330833435","0.0673646330833435","0.0673646330833435","1304","1304","1304","0.062127869576215744","0.062127869576215744","0.062127869576215744","1304","1304","1304","0.08194510638713837","0.08194510638713837","0.08194510638713837","1304","1304","1304","0.07338564842939377","0.07338564842939377","0.07338564842939377","1304","1304","1304","0.07058745622634888","0.07058745622634888","0.07058745622634888","1087","1087","1087","0.08580721914768219","0.08580721914768219","0.08580721914768219","1304","1304","1304","0.06676983833312988","0.06676983833312988","0.06676983833312988","1304","1304","1304","0.06657794117927551","0.06657794117927551","0.06657794117927551"
"217","1092","1092","1092","0.07042324542999268","0.07042324542999268","0.07042324542999268","1310","1310","1310","0.07759564369916916","0.07759564369916916","0.07759564369916916","1310","1310","1310","0.05937264487147331","0.05937264487147331","0.05937264487147331","1310","1310","1310","0.07419023662805557","0.07419023662805557","0.07419023662805557","1310","1310","1310","0.07252845168113708","0.07252845168113708","0.07252845168113708","1092","1092","1092","0.09270526468753815","0.09270526468753815","0.09270526468753815","1310","1310","1310","0.0708358958363533","0.0708358958363533","0.0708358958363533","1310","1310","1310","0.07540874928236008","0.07540874928236008","0.07540874928236008"
"218","1097","1097","1097","0.0672321617603302","0.0672321617603302","0.0672321617603302","1316","1316","1316","0.08489156514406204","0.08489156514406204","0.08489156514406204","1316","1316","1316","0.064864881336689","0.064864881336689","0.064864881336689","1316","1316","1316","0.0866774320602417","0.0866774320602417","0.0866774320602417","1316","1316","1316","0.05680092051625252","0.05680092051625252","0.05680092051625252","1097","1097","1097","0.07229740172624588","0.07229740172624588","0.07229740172624588","1316","1316","1316","0.05837303027510643","0.05837303027510643","0.05837303027510643","1316","1316","1316","0.08757519721984863","0.08757519721984863","0.08757519721984863"
"219","1102","1102","1102","0.07268135994672775","0.07268135994672775","0.07268135994672775","1322","1322","1322","0.08724026381969452","0.08724026381969452","0.08724026381969452","1322","1322","1322","0.0734926238656044","0.0734926238656044","0.0734926238656044","1322","1322","1322","0.06686222553253174","0.06686222553253174","0.06686222553253174","1322","1322","1322","0.07345477491617203","0.07345477491617203","0.07345477491617203","1102","1102","1102","0.08193264156579971","0.08193264156579971","0.08193264156579971","1322","1322","1322","0.07048177719116211","0.07048177719116211","0.07048177719116211","1322","1322","1322","0.047961991280317307","0.047961991280317307","0.047961991280317307"
"220","1107","1107","1107","0.06954843550920486","0.06954843550920486","0.06954843550920486","1328","1328","1328","0.08499838411808014","0.08499838411808014","0.08499838411808014","1328","1328","1328","0.07197336852550507","0.07197336852550507","0.07197336852550507","1328","1328","1328","0.07264935225248337","0.07264935225248337","0.07264935225248337","1328","1328","1328","0.05703393742442131","0.05703393742442131","0.05703393742442131","1107","1107","1107","0.08732262998819351","0.08732262998819351","0.08732262998819351","1328","1328","1328","0.07043872028589249","0.07043872028589249","0.07043872028589249","1328","1328","1328","0.07388829439878464","0.07388829439878464","0.07388829439878464"
"221","1112","1112","1112","0.07440181821584702","0.07440181821584702","0.07440181821584702","1334","1334","1334","0.08761710673570633","0.08761710673570633","0.08761710673570633","1334","1334","1334","0.05464604124426842","0.05464604124426842","0.05464604124426842","1334","1334","1334","0.057689111679792404","0.057689111679792404","0.057689111679792404","1334","1334","1334","0.0934070348739624","0.0934070348739624","0.0934070348739624","1112","1112","1112","0.06587619334459305","0.06587619334459305","0.06587619334459305","1334","1334","1334","0.07582924515008926","0.07582924515008926","0.07582924515008926","1334","1334","1334","0.07558439671993256","0.07558439671993256","0.07558439671993256"
"222","1117","1117","1117","0.08387228846549988","0.08387228846549988","0.08387228846549988","1340","1340","1340","0.07551287114620209","0.07551287114620209","0.07551287114620209","1340","1340","1340","0.06672564148902893","0.06672564148902893","0.06672564148902893","1340","1340","1340","0.09276462346315384","0.09276462346315384","0.09276462346315384","1340","1340","1340","0.08208020776510239","0.08208020776510239","0.08208020776510239","1117","1117","1117","0.07749061286449432","0.07749061286449432","0.07749061286449432","1340","1340","1340","0.05906571075320244","0.05906571075320244","0.05906571075320244","1340","1340","1340","0.08301261812448502","0.08301261812448502","0.08301261812448502"
"223","1122","1122","1122","0.06066117063164711","0.06066117063164711","0.06066117063164711","1346","1346","1346","0.06532159447669983","0.06532159447669983","0.06532159447669983","1346","1346","1346","0.08311214298009872","0.08311214298009872","0.08311214298009872","1346","1346","1346","0.06384140998125076","0.06384140998125076","0.06384140998125076","1346","1346","1346","0.07338635623455048","0.07338635623455048","0.07338635623455048","1122","1122","1122","0.06616856902837753","0.06616856902837753","0.06616856902837753","1346","1346","1346","0.07430171966552734","0.07430171966552734","0.07430171966552734","1346","1346","1346","0.09003397822380066","0.09003397822380066","0.09003397822380066"
"224","1127","1127","1127","0.0781639814376831","0.0781639814376831","0.0781639814376831","1352","1352","1352","0.0883321538567543","0.0883321538567543","0.0883321538567543","1352","1352","1352","0.08951464295387268","0.08951464295387268","0.08951464295387268","1352","1352","1352","0.07316099852323532","0.07316099852323532","0.07316099852323532","1352","1352","1352","0.06448549777269363","0.06448549777269363","0.06448549777269363","1127","1127","1127","0.06194464862346649","0.06194464862346649","0.06194464862346649","1352","1352","1352","0.06747996807098389","0.06747996807098389","0.06747996807098389","1352","1352","1352","0.07663464546203613","0.07663464546203613","0.07663464546203613"
"225","1132","1132","1132","0.07674569636583328","0.07674569636583328","0.07674569636583328","1358","1358","1358","0.08584710955619812","0.08584710955619812","0.08584710955619812","1358","1358","1358","0.06096542999148369","0.06096542999148369","0.06096542999148369","1358","1358","1358","0.07148189097642899","0.07148189097642899","0.07148189097642899","1358","1358","1358","0.06675483286380768","0.06675483286380768","0.06675483286380768","1132","1132","1132","0.06493470817804337","0.06493470817804337","0.06493470817804337","1358","1358","1358","0.06393098831176758","0.06393098831176758","0.06393098831176758","1358","1358","1358","0.0841849148273468","0.0841849148273468","0.0841849148273468"
"226","1137","1137","1137","0.06414324790239334","0.06414324790239334","0.06414324790239334","1364","1364","1364","0.08404268324375153","0.08404268324375153","0.08404268324375153","1364","1364","1364","0.06116925925016403","0.06116925925016403","0.06116925925016403","1364","1364","1364","0.08402654528617859","0.08402654528617859","0.08402654528617859","1364","1364","1364","0.06968115270137787","0.06968115270137787","0.06968115270137787","1137","1137","1137","0.08393095433712006","0.08393095433712006","0.08393095433712006","1364","1364","1364","0.09397304058074951","0.09397304058074951","0.09397304058074951","1364","1364","1364","0.0674457997083664","0.0674457997083664","0.0674457997083664"
"227","1142","1142","1142","0.06314105540513992","0.06314105540513992","0.06314105540513992","1370","1370","1370","0.06821216642856598","0.06821216642856598","0.06821216642856598","1370","1370","1370","0.06766432523727417","0.06766432523727417","0.06766432523727417","1370","1370","1370","0.08165279030799866","0.08165279030799866","0.08165279030799866","1370","1370","1370","0.0691009983420372","0.0691009983420372","0.0691009983420372","1142","1142","1142","0.06779997050762177","0.06779997050762177","0.06779997050762177","1370","1370","1370","0.06595662236213684","0.06595662236213684","0.06595662236213684","1370","1370","1370","0.06266673654317856","0.06266673654317856","0.06266673654317856"
"228","1147","1147","1147","0.08219516277313232","0.08219516277313232","0.08219516277313232","1376","1376","1376","0.07687211036682129","0.07687211036682129","0.07687211036682129","1376","1376","1376","0.07771936804056168","0.07771936804056168","0.07771936804056168","1376","1376","1376","0.06197461485862732","0.06197461485862732","0.06197461485862732","1376","1376","1376","0.07990360260009766","0.07990360260009766","0.07990360260009766","1147","1147","1147","0.06691019982099533","0.06691019982099533","0.06691019982099533","1376","1376","1376","0.06934628635644913","0.06934628635644913","0.06934628635644913","1376","1376","1376","0.06320949643850327","0.06320949643850327","0.06320949643850327"
"229","1152","1152","1152","0.048528026789426804","0.048528026789426804","0.048528026789426804","1382","1382","1382","0.07341776043176651","0.07341776043176651","0.07341776043176651","1382","1382","1382","0.05542488768696785","0.05542488768696785","0.05542488768696785","1382","1382","1382","0.07140959799289703","0.07140959799289703","0.07140959799289703","1382","1382","1382","0.08794160932302475","0.08794160932302475","0.08794160932302475","1152","1152","1152","0.07922105491161346","0.07922105491161346","0.07922105491161346","1382","1382","1382","0.06407912820577621","0.06407912820577621","0.06407912820577621","1382","1382","1382","0.06800825148820877","0.06800825148820877","0.06800825148820877"
"230","1157","1157","1157","0.06457393616437912","0.06457393616437912","0.06457393616437912","1388","1388","1388","0.0948927104473114","0.0948927104473114","0.0948927104473114","1388","1388","1388","0.07558859139680862","0.07558859139680862","0.07558859139680862","1388","1388","1388","0.08758857846260071","0.08758857846260071","0.08758857846260071","1388","1388","1388","0.055787961930036545","0.055787961930036545","0.055787961930036545","1157","1157","1157","0.08811884373426437","0.08811884373426437","0.08811884373426437","1388","1388","1388","0.08867500722408295","0.08867500722408295","0.08867500722408295","1388","1388","1388","0.07456119358539581","0.07456119358539581","0.07456119358539581"
"231","1162","1162","1162","0.062198761850595474","0.062198761850595474","0.062198761850595474","1394","1394","1394","0.09170368313789368","0.09170368313789368","0.09170368313789368","1394","1394","1394","0.05386513099074364","0.05386513099074364","0.05386513099074364","1394","1394","1394","0.058891285210847855","0.058891285210847855","0.058891285210847855","1394","1394","1394","0.06443126499652863","0.06443126499652863","0.06443126499652863","1162","1162","1162","0.05793628469109535","0.05793628469109535","0.05793628469109535","1394","1394","1394","0.0834343284368515","0.0834343284368515","0.0834343284368515","1394","1394","1394","0.07108115404844284","0.07108115404844284","0.07108115404844284"
"232","1167","1167","1167","0.06623132526874542","0.06623132526874542","0.06623132526874542","1400","1400","1400","0.08838340640068054","0.08838340640068054","0.08838340640068054","1400","1400","1400","0.06638694554567337","0.06638694554567337","0.06638694554567337","1400","1400","1400","0.0841255933046341","0.0841255933046341","0.0841255933046341","1400","1400","1400","0.09481557458639145","0.09481557458639145","0.09481557458639145","1167","1167","1167","0.05816478282213211","0.05816478282213211","0.05816478282213211","1400","1400","1400","0.06699337810277939","0.06699337810277939","0.06699337810277939","1400","1400","1400","0.05956832692027092","0.05956832692027092","0.05956832692027092"
"233","1172","1172","1172","0.08961682766675949","0.08961682766675949","0.08961682766675949","1406","1406","1406","0.05269993096590042","0.05269993096590042","0.05269993096590042","1406","1406","1406","0.07057441771030426","0.07057441771030426","0.07057441771030426","1406","1406","1406","0.0642704963684082","0.0642704963684082","0.0642704963684082","1406","1406","1406","0.07116345316171646","0.07116345316171646","0.07116345316171646","1172","1172","1172","0.07430116087198257","0.07430116087198257","0.07430116087198257","1406","1406","1406","0.06308478116989136","0.06308478116989136","0.06308478116989136","1406","1406","1406","0.04867018759250641","0.04867018759250641","0.04867018759250641"
"234","1177","1177","1177","0.06826122850179672","0.06826122850179672","0.06826122850179672","1412","1412","1412","0.07336772233247757","0.07336772233247757","0.07336772233247757","1412","1412","1412","0.08998943865299225","0.08998943865299225","0.08998943865299225","1412","1412","1412","0.09207390248775482","0.09207390248775482","0.09207390248775482","1412","1412","1412","0.07956228405237198","0.07956228405237198","0.07956228405237198","1177","1177","1177","0.08463747799396515","0.08463747799396515","0.08463747799396515","1412","1412","1412","0.06715454161167145","0.06715454161167145","0.06715454161167145","1412","1412","1412","0.0740429162979126","0.0740429162979126","0.0740429162979126"
"235","1182","1182","1182","0.06977171450853348","0.06977171450853348","0.06977171450853348","1418","1418","1418","0.09105721861124039","0.09105721861124039","0.09105721861124039","1418","1418","1418","0.09055671840906143","0.09055671840906143","0.09055671840906143","1418","1418","1418","0.054978273808956146","0.054978273808956146","0.054978273808956146","1418","1418","1418","0.060467515140771866","0.060467515140771866","0.060467515140771866","1182","1182","1182","0.07686787098646164","0.07686787098646164","0.07686787098646164","1418","1418","1418","0.09120958298444748","0.09120958298444748","0.09120958298444748","1418","1418","1418","0.06623213738203049","0.06623213738203049","0.06623213738203049"
"236","1187","1187","1187","0.08342515677213669","0.08342515677213669","0.08342515677213669","1424","1424","1424","0.07594668865203857","0.07594668865203857","0.07594668865203857","1424","1424","1424","0.06288693845272064","0.06288693845272064","0.06288693845272064","1424","1424","1424","0.07443870604038239","0.07443870604038239","0.07443870604038239","1424","1424","1424","0.07272577285766602","0.07272577285766602","0.07272577285766602","1187","1187","1187","0.06100842356681824","0.06100842356681824","0.06100842356681824","1424","1424","1424","0.06964194029569626","0.06964194029569626","0.06964194029569626","1424","1424","1424","0.08774831891059875","0.08774831891059875","0.08774831891059875"
"237","1192","1192","1192","0.055194273591041565","0.055194273591041565","0.055194273591041565","1430","1430","1430","0.08767398446798325","0.08767398446798325","0.08767398446798325","1430","1430","1430","0.09745100140571594","0.09745100140571594","0.09745100140571594","1430","1430","1430","0.09127780795097351","0.09127780795097351","0.09127780795097351","1430","1430","1430","0.06899011135101318","0.06899011135101318","0.06899011135101318","1192","1192","1192","0.06908867508172989","0.06908867508172989","0.06908867508172989","1430","1430","1430","0.08268945664167404","0.08268945664167404","0.08268945664167404","1430","1430","1430","0.08474242687225342","0.08474242687225342","0.08474242687225342"
"238","1197","1197","1197","0.0707443356513977","0.0707443356513977","0.0707443356513977","1436","1436","1436","0.05207502096891403","0.05207502096891403","0.05207502096891403","1436","1436","1436","0.07316335290670395","0.07316335290670395","0.07316335290670395","1436","1436","1436","0.07576857507228851","0.07576857507228851","0.07576857507228851","1436","1436","1436","0.07561121135950089","0.07561121135950089","0.07561121135950089","1197","1197","1197","0.06440801173448563","0.06440801173448563","0.06440801173448563","1436","1436","1436","0.104652538895607","0.104652538895607","0.104652538895607","1436","1436","1436","0.08204309642314911","0.08204309642314911","0.08204309642314911"
