"Evaluate/step_episode","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpProgress","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpProgress__MIN","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpProgress__MAX","rl_filter_mlp_2025-12-07_21-13-48 - _step","rl_filter_mlp_2025-12-07_21-13-48 - _step__MIN","rl_filter_mlp_2025-12-07_21-13-48 - _step__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpProgress","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpProgress__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpProgress__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - _step","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpProgress","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpProgress__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpProgress__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - _step","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpProgress","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpProgress__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpProgress__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - _step","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress__MIN","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX"
"1279","1","1","1","26693","26693","26693","1","1","1","153014","153014","153014","1","1","1","153159","153159","153159","1","1","1","152892","152892","152892","1","1","1","152948","152948","152948"
"1280","1","1","1","26697","26697","26697","1","1","1","153018","153018","153018","1","1","1","153163","153163","153163","1","1","1","152896","152896","152896","1","1","1","152952","152952","152952"
"1281","1","1","1","26701","26701","26701","1","1","1","153022","153022","153022","1","1","1","153167","153167","153167","1","1","1","152900","152900","152900","1","1","1","152956","152956","152956"
"1282","1","1","1","26705","26705","26705","1","1","1","153026","153026","153026","1","1","1","153171","153171","153171","1","1","1","152904","152904","152904","1","1","1","152960","152960","152960"
"1283","1","1","1","26709","26709","26709","1","1","1","153030","153030","153030","1","1","1","153175","153175","153175","1","1","1","152908","152908","152908","1","1","1","152964","152964","152964"
"1284","1","1","1","26713","26713","26713","1","1","1","153034","153034","153034","1","1","1","153179","153179","153179","1","1","1","152912","152912","152912","1","1","1","152968","152968","152968"
"1285","1","1","1","26717","26717","26717","1","1","1","153038","153038","153038","1","1","1","153183","153183","153183","1","1","1","152916","152916","152916","1","1","1","152972","152972","152972"
"1286","1","1","1","26721","26721","26721","1","1","1","153042","153042","153042","1","1","1","153187","153187","153187","1","1","1","152920","152920","152920","1","1","1","152976","152976","152976"
"1287","1","1","1","26875","26875","26875","1","1","1","154078","154078","154078","1","1","1","154223","154223","154223","1","1","1","153957","153957","153957","1","1","1","154012","154012","154012"
"1288","1","1","1","26879","26879","26879","1","1","1","154082","154082","154082","1","1","1","154227","154227","154227","1","1","1","153961","153961","153961","1","1","1","154016","154016","154016"
"1289","1","1","1","26883","26883","26883","1","1","1","154086","154086","154086","1","1","1","154231","154231","154231","1","1","1","153965","153965","153965","1","1","1","154020","154020","154020"
"1290","1","1","1","26887","26887","26887","1","1","1","154090","154090","154090","1","1","1","154235","154235","154235","1","1","1","153969","153969","153969","1","1","1","154024","154024","154024"
"1291","1","1","1","26891","26891","26891","1","1","1","154094","154094","154094","0.9","0.9","0.9","154239","154239","154239","1","1","1","153973","153973","153973","1","1","1","154028","154028","154028"
"1292","1","1","1","26895","26895","26895","1","1","1","154098","154098","154098","1","1","1","154243","154243","154243","1","1","1","153977","153977","153977","1","1","1","154032","154032","154032"
"1293","1","1","1","26899","26899","26899","1","1","1","154102","154102","154102","1","1","1","154247","154247","154247","1","1","1","153981","153981","153981","1","1","1","154036","154036","154036"
"1294","1","1","1","26903","26903","26903","1","1","1","154106","154106","154106","1","1","1","154251","154251","154251","1","1","1","153985","153985","153985","1","1","1","154040","154040","154040"
"1295","1","1","1","26907","26907","26907","1","1","1","154110","154110","154110","1","1","1","154255","154255","154255","1","1","1","153989","153989","153989","1","1","1","154044","154044","154044"
"1296","1","1","1","27058","27058","27058","1","1","1","155146","155146","155146","1","1","1","155290","155290","155290","1","1","1","155030","155030","155030","1","1","1","155080","155080","155080"
"1297","1","1","1","27062","27062","27062","1","1","1","155150","155150","155150","1","1","1","155294","155294","155294","1","1","1","155034","155034","155034","1","1","1","155084","155084","155084"
"1298","1","1","1","27066","27066","27066","1","1","1","155154","155154","155154","1","1","1","155298","155298","155298","1","1","1","155038","155038","155038","1","1","1","155088","155088","155088"
"1299","1","1","1","27070","27070","27070","1","1","1","155158","155158","155158","1","1","1","155302","155302","155302","1","1","1","155042","155042","155042","1","1","1","155092","155092","155092"
"1300","1","1","1","27074","27074","27074","1","1","1","155162","155162","155162","1","1","1","155306","155306","155306","1","1","1","155046","155046","155046","1","1","1","155096","155096","155096"
"1301","1","1","1","27078","27078","27078","1","1","1","155166","155166","155166","1","1","1","155310","155310","155310","1","1","1","155050","155050","155050","1","1","1","155100","155100","155100"
"1302","1","1","1","27082","27082","27082","1","1","1","155170","155170","155170","1","1","1","155314","155314","155314","1","1","1","155054","155054","155054","1","1","1","155104","155104","155104"
"1303","1","1","1","27086","27086","27086","1","1","1","155174","155174","155174","1","1","1","155318","155318","155318","1","1","1","155058","155058","155058","1","1","1","155108","155108","155108"
"1304","1","1","1","27090","27090","27090","1","1","1","155178","155178","155178","1","1","1","155322","155322","155322","1","1","1","155062","155062","155062","1","1","1","155112","155112","155112"
"1305","1","1","1","27250","27250","27250","1","1","1","156215","156215","156215","1","1","1","156358","156358","156358","1","1","1","156103","156103","156103","1","1","1","156148","156148","156148"
"1306","1","1","1","27254","27254","27254","1","1","1","156219","156219","156219","1","1","1","156362","156362","156362","1","1","1","156107","156107","156107","1","1","1","156152","156152","156152"
"1307","1","1","1","27258","27258","27258","1","1","1","156223","156223","156223","1","1","1","156366","156366","156366","1","1","1","156111","156111","156111","1","1","1","156156","156156","156156"
"1308","1","1","1","27262","27262","27262","1","1","1","156227","156227","156227","1","1","1","156370","156370","156370","1","1","1","156115","156115","156115","1","1","1","156160","156160","156160"
"1309","1","1","1","27266","27266","27266","1","1","1","156231","156231","156231","0.9","0.9","0.9","156374","156374","156374","1","1","1","156119","156119","156119","1","1","1","156164","156164","156164"
"1310","1","1","1","27270","27270","27270","1","1","1","156235","156235","156235","1","1","1","156378","156378","156378","1","1","1","156123","156123","156123","1","1","1","156168","156168","156168"
"1311","1","1","1","27274","27274","27274","1","1","1","156239","156239","156239","1","1","1","156382","156382","156382","1","1","1","156127","156127","156127","1","1","1","156172","156172","156172"
"1312","1","1","1","27278","27278","27278","1","1","1","156243","156243","156243","1","1","1","156386","156386","156386","1","1","1","156131","156131","156131","1","1","1","156176","156176","156176"
"1313","1","1","1","27282","27282","27282","1","1","1","156247","156247","156247","1","1","1","156390","156390","156390","1","1","1","156135","156135","156135","1","1","1","156180","156180","156180"
"1314","1","1","1","27437","27437","27437","1","1","1","157288","157288","157288","1","1","1","157426","157426","157426","1","1","1","157172","157172","157172","1","1","1","157217","157217","157217"
"1315","1","1","1","27441","27441","27441","0.8","0.8","0.8","157292","157292","157292","1","1","1","157430","157430","157430","1","1","1","157176","157176","157176","1","1","1","157221","157221","157221"
"1316","1","1","1","27445","27445","27445","1","1","1","157296","157296","157296","1","1","1","157434","157434","157434","1","1","1","157180","157180","157180","1","1","1","157225","157225","157225"
"1317","1","1","1","27449","27449","27449","1","1","1","157300","157300","157300","1","1","1","157438","157438","157438","1","1","1","157184","157184","157184","0.9","0.9","0.9","157229","157229","157229"
"1318","1","1","1","27453","27453","27453","1","1","1","157304","157304","157304","1","1","1","157442","157442","157442","1","1","1","157188","157188","157188","1","1","1","157233","157233","157233"
"1319","1","1","1","27457","27457","27457","1","1","1","157308","157308","157308","1","1","1","157446","157446","157446","1","1","1","157192","157192","157192","1","1","1","157237","157237","157237"
"1320","1","1","1","27461","27461","27461","1","1","1","157312","157312","157312","1","1","1","157450","157450","157450","1","1","1","157196","157196","157196","1","1","1","157241","157241","157241"
"1321","1","1","1","27465","27465","27465","1","1","1","157316","157316","157316","1","1","1","157454","157454","157454","1","1","1","157200","157200","157200","1","1","1","157245","157245","157245"
"1322","1","1","1","27469","27469","27469","1","1","1","157320","157320","157320","1","1","1","157458","157458","157458","1","1","1","157204","157204","157204","1","1","1","157249","157249","157249"
"1323","1","1","1","27624","27624","27624","1","1","1","158355","158355","158355","1","1","1","158494","158494","158494","1","1","1","158240","158240","158240","1","1","1","158284","158284","158284"
"1324","1","1","1","27628","27628","27628","1","1","1","158359","158359","158359","1","1","1","158498","158498","158498","1","1","1","158244","158244","158244","1","1","1","158288","158288","158288"
"1325","1","1","1","27632","27632","27632","1","1","1","158363","158363","158363","1","1","1","158502","158502","158502","1","1","1","158248","158248","158248","1","1","1","158292","158292","158292"
"1326","1","1","1","27636","27636","27636","1","1","1","158367","158367","158367","1","1","1","158506","158506","158506","1","1","1","158252","158252","158252","1","1","1","158296","158296","158296"
"1327","1","1","1","27640","27640","27640","1","1","1","158371","158371","158371","1","1","1","158510","158510","158510","1","1","1","158256","158256","158256","1","1","1","158300","158300","158300"
"1328","1","1","1","27644","27644","27644","1","1","1","158375","158375","158375","1","1","1","158514","158514","158514","1","1","1","158260","158260","158260","1","1","1","158304","158304","158304"
"1329","1","1","1","27648","27648","27648","1","1","1","158379","158379","158379","1","1","1","158518","158518","158518","1","1","1","158264","158264","158264","1","1","1","158308","158308","158308"
"1330","1","1","1","27652","27652","27652","1","1","1","158383","158383","158383","1","1","1","158522","158522","158522","1","1","1","158268","158268","158268","1","1","1","158312","158312","158312"
"1331","1","1","1","27656","27656","27656","1","1","1","158387","158387","158387","1","1","1","158526","158526","158526","1","1","1","158272","158272","158272","1","1","1","158316","158316","158316"
"1332","1","1","1","27812","27812","27812","1","1","1","159428","159428","159428","1","1","1","159562","159562","159562","1","1","1","159314","159314","159314","1","1","1","159357","159357","159357"
"1333","1","1","1","27816","27816","27816","1","1","1","159432","159432","159432","1","1","1","159566","159566","159566","1","1","1","159318","159318","159318","1","1","1","159361","159361","159361"
"1334","1","1","1","27820","27820","27820","1","1","1","159436","159436","159436","1","1","1","159570","159570","159570","1","1","1","159322","159322","159322","1","1","1","159365","159365","159365"
"1335","1","1","1","27824","27824","27824","1","1","1","159440","159440","159440","1","1","1","159574","159574","159574","1","1","1","159326","159326","159326","1","1","1","159369","159369","159369"
"1336","1","1","1","27828","27828","27828","1","1","1","159444","159444","159444","1","1","1","159578","159578","159578","1","1","1","159330","159330","159330","1","1","1","159373","159373","159373"
"1337","1","1","1","27832","27832","27832","1","1","1","159448","159448","159448","1","1","1","159582","159582","159582","1","1","1","159334","159334","159334","1","1","1","159377","159377","159377"
"1338","1","1","1","27836","27836","27836","1","1","1","159452","159452","159452","1","1","1","159586","159586","159586","1","1","1","159338","159338","159338","1","1","1","159381","159381","159381"
"1339","1","1","1","27840","27840","27840","1","1","1","159456","159456","159456","1","1","1","159590","159590","159590","1","1","1","159342","159342","159342","1","1","1","159385","159385","159385"
"1340","1","1","1","27844","27844","27844","1","1","1","159460","159460","159460","1","1","1","159594","159594","159594","1","1","1","159346","159346","159346","1","1","1","159389","159389","159389"
"1341","1","1","1","28004","28004","28004","1","1","1","160496","160496","160496","1","1","1","160635","160635","160635","1","1","1","160387","160387","160387","1","1","1","160425","160425","160425"
"1342","1","1","1","28008","28008","28008","1","1","1","160500","160500","160500","1","1","1","160639","160639","160639","1","1","1","160391","160391","160391","1","1","1","160429","160429","160429"
"1343","1","1","1","28012","28012","28012","1","1","1","160504","160504","160504","1","1","1","160643","160643","160643","1","1","1","160395","160395","160395","1","1","1","160433","160433","160433"
"1344","1","1","1","28016","28016","28016","1","1","1","160508","160508","160508","1","1","1","160647","160647","160647","1","1","1","160399","160399","160399","1","1","1","160437","160437","160437"
"1345","1","1","1","28020","28020","28020","1","1","1","160512","160512","160512","1","1","1","160651","160651","160651","1","1","1","160403","160403","160403","1","1","1","160441","160441","160441"
"1346","1","1","1","28024","28024","28024","1","1","1","160516","160516","160516","1","1","1","160655","160655","160655","1","1","1","160407","160407","160407","1","1","1","160445","160445","160445"
"1347","1","1","1","28028","28028","28028","1","1","1","160520","160520","160520","1","1","1","160659","160659","160659","1","1","1","160411","160411","160411","1","1","1","160449","160449","160449"
"1348","1","1","1","28032","28032","28032","1","1","1","160524","160524","160524","1","1","1","160663","160663","160663","1","1","1","160415","160415","160415","1","1","1","160453","160453","160453"
"1349","1","1","1","28036","28036","28036","1","1","1","160528","160528","160528","1","1","1","160667","160667","160667","1","1","1","160419","160419","160419","1","1","1","160457","160457","160457"
"1350","1","1","1","28188","28188","28188","1","1","1","161569","161569","161569","1","1","1","161703","161703","161703","1","1","1","161455","161455","161455","1","1","1","161493","161493","161493"
"1351","1","1","1","28192","28192","28192","1","1","1","161573","161573","161573","1","1","1","161707","161707","161707","1","1","1","161459","161459","161459","1","1","1","161497","161497","161497"
"1352","1","1","1","28196","28196","28196","1","1","1","161577","161577","161577","1","1","1","161711","161711","161711","1","1","1","161463","161463","161463","1","1","1","161501","161501","161501"
"1353","1","1","1","28200","28200","28200","1","1","1","161581","161581","161581","1","1","1","161715","161715","161715","1","1","1","161467","161467","161467","1","1","1","161505","161505","161505"
"1354","1","1","1","28204","28204","28204","1","1","1","161585","161585","161585","1","1","1","161719","161719","161719","1","1","1","161471","161471","161471","1","1","1","161509","161509","161509"
"1355","1","1","1","28208","28208","28208","1","1","1","161589","161589","161589","1","1","1","161723","161723","161723","1","1","1","161475","161475","161475","1","1","1","161513","161513","161513"
"1356","1","1","1","28212","28212","28212","1","1","1","161593","161593","161593","1","1","1","161727","161727","161727","1","1","1","161479","161479","161479","1","1","1","161517","161517","161517"
"1357","1","1","1","28216","28216","28216","1","1","1","161597","161597","161597","1","1","1","161731","161731","161731","1","1","1","161483","161483","161483","1","1","1","161521","161521","161521"
"1358","1","1","1","28220","28220","28220","1","1","1","161601","161601","161601","1","1","1","161735","161735","161735","1","1","1","161487","161487","161487","1","1","1","161525","161525","161525"
"1359","1","1","1","28373","28373","28373","1","1","1","162637","162637","162637","1","1","1","162777","162777","162777","1","1","1","162528","162528","162528","1","1","1","162561","162561","162561"
"1360","0.8","0.8","0.8","28377","28377","28377","1","1","1","162641","162641","162641","1","1","1","162781","162781","162781","1","1","1","162532","162532","162532","1","1","1","162565","162565","162565"
"1361","1","1","1","28381","28381","28381","1","1","1","162645","162645","162645","1","1","1","162785","162785","162785","1","1","1","162536","162536","162536","1","1","1","162569","162569","162569"
"1362","1","1","1","28385","28385","28385","0.9","0.9","0.9","162649","162649","162649","1","1","1","162789","162789","162789","1","1","1","162540","162540","162540","1","1","1","162573","162573","162573"
"1363","1","1","1","28389","28389","28389","1","1","1","162653","162653","162653","1","1","1","162793","162793","162793","1","1","1","162544","162544","162544","1","1","1","162577","162577","162577"
"1364","1","1","1","28393","28393","28393","1","1","1","162657","162657","162657","1","1","1","162797","162797","162797","1","1","1","162548","162548","162548","1","1","1","162581","162581","162581"
"1365","1","1","1","28397","28397","28397","1","1","1","162661","162661","162661","1","1","1","162801","162801","162801","1","1","1","162552","162552","162552","1","1","1","162585","162585","162585"
"1366","1","1","1","28401","28401","28401","1","1","1","162665","162665","162665","1","1","1","162805","162805","162805","1","1","1","162556","162556","162556","1","1","1","162589","162589","162589"
"1367","1","1","1","28405","28405","28405","1","1","1","162669","162669","162669","1","1","1","162809","162809","162809","1","1","1","162560","162560","162560","1","1","1","162593","162593","162593"
"1368","1","1","1","28556","28556","28556","1","1","1","163704","163704","163704","1","1","1","163845","163845","163845","1","1","1","163596","163596","163596","1","1","1","163635","163635","163635"
"1369","1","1","1","28560","28560","28560","1","1","1","163708","163708","163708","1","1","1","163849","163849","163849","1","1","1","163600","163600","163600","1","1","1","163639","163639","163639"
"1370","1","1","1","28564","28564","28564","1","1","1","163712","163712","163712","1","1","1","163853","163853","163853","1","1","1","163604","163604","163604","1","1","1","163643","163643","163643"
"1371","1","1","1","28568","28568","28568","1","1","1","163716","163716","163716","1","1","1","163857","163857","163857","1","1","1","163608","163608","163608","0.9","0.9","0.9","163647","163647","163647"
"1372","1","1","1","28572","28572","28572","1","1","1","163720","163720","163720","1","1","1","163861","163861","163861","1","1","1","163612","163612","163612","1","1","1","163651","163651","163651"
"1373","1","1","1","28576","28576","28576","1","1","1","163724","163724","163724","1","1","1","163865","163865","163865","1","1","1","163616","163616","163616","1","1","1","163655","163655","163655"
"1374","1","1","1","28580","28580","28580","1","1","1","163728","163728","163728","1","1","1","163869","163869","163869","1","1","1","163620","163620","163620","1","1","1","163659","163659","163659"
"1375","1","1","1","28584","28584","28584","1","1","1","163732","163732","163732","1","1","1","163873","163873","163873","1","1","1","163624","163624","163624","1","1","1","163663","163663","163663"
"1376","1","1","1","28588","28588","28588","1","1","1","163736","163736","163736","1","1","1","163877","163877","163877","1","1","1","163628","163628","163628","1","1","1","163667","163667","163667"
"1377","1","1","1","28749","28749","28749","1","1","1","164778","164778","164778","1","1","1","164918","164918","164918","1","1","1","164665","164665","164665","1","1","1","164702","164702","164702"
"1378","1","1","1","28753","28753","28753","1","1","1","164782","164782","164782","1","1","1","164922","164922","164922","1","1","1","164669","164669","164669","1","1","1","164706","164706","164706"
"1379","1","1","1","28757","28757","28757","1","1","1","164786","164786","164786","1","1","1","164926","164926","164926","1","1","1","164673","164673","164673","1","1","1","164710","164710","164710"
"1380","1","1","1","28761","28761","28761","1","1","1","164790","164790","164790","1","1","1","164930","164930","164930","1","1","1","164677","164677","164677","1","1","1","164714","164714","164714"
"1381","1","1","1","28765","28765","28765","1","1","1","164794","164794","164794","1","1","1","164934","164934","164934","1","1","1","164681","164681","164681","1","1","1","164718","164718","164718"
"1382","1","1","1","28769","28769","28769","1","1","1","164798","164798","164798","1","1","1","164938","164938","164938","1","1","1","164685","164685","164685","1","1","1","164722","164722","164722"
"1383","1","1","1","28773","28773","28773","1","1","1","164802","164802","164802","1","1","1","164942","164942","164942","1","1","1","164689","164689","164689","1","1","1","164726","164726","164726"
"1384","1","1","1","28777","28777","28777","1","1","1","164806","164806","164806","1","1","1","164946","164946","164946","1","1","1","164693","164693","164693","1","1","1","164730","164730","164730"
"1385","1","1","1","28781","28781","28781","1","1","1","164810","164810","164810","1","1","1","164950","164950","164950","1","1","1","164697","164697","164697","1","1","1","164734","164734","164734"
"1386","1","1","1","28938","28938","28938","1","1","1","165846","165846","165846","1","1","1","165991","165991","165991","1","1","1","165738","165738","165738","1","1","1","165770","165770","165770"
"1387","1","1","1","28942","28942","28942","1","1","1","165850","165850","165850","1","1","1","165995","165995","165995","1","1","1","165742","165742","165742","1","1","1","165774","165774","165774"
"1388","1","1","1","28946","28946","28946","1","1","1","165854","165854","165854","1","1","1","165999","165999","165999","1","1","1","165746","165746","165746","1","1","1","165778","165778","165778"
"1389","1","1","1","28950","28950","28950","1","1","1","165858","165858","165858","1","1","1","166003","166003","166003","1","1","1","165750","165750","165750","1","1","1","165782","165782","165782"
"1390","1","1","1","28954","28954","28954","1","1","1","165862","165862","165862","1","1","1","166007","166007","166007","1","1","1","165754","165754","165754","1","1","1","165786","165786","165786"
"1391","1","1","1","28958","28958","28958","1","1","1","165866","165866","165866","1","1","1","166011","166011","166011","1","1","1","165758","165758","165758","1","1","1","165790","165790","165790"
"1392","1","1","1","28962","28962","28962","1","1","1","165870","165870","165870","1","1","1","166015","166015","166015","1","1","1","165762","165762","165762","1","1","1","165794","165794","165794"
"1393","1","1","1","28966","28966","28966","1","1","1","165874","165874","165874","1","1","1","166019","166019","166019","1","1","1","165766","165766","165766","1","1","1","165798","165798","165798"
"1394","1","1","1","28970","28970","28970","1","1","1","165878","165878","165878","1","1","1","166023","166023","166023","1","1","1","165770","165770","165770","1","1","1","165802","165802","165802"
"1395","1","1","1","29125","29125","29125","1","1","1","166914","166914","166914","1","1","1","167059","167059","167059","1","1","1","166806","166806","166806","1","1","1","166844","166844","166844"
"1396","1","1","1","29129","29129","29129","1","1","1","166918","166918","166918","1","1","1","167063","167063","167063","1","1","1","166810","166810","166810","1","1","1","166848","166848","166848"
"1397","1","1","1","29133","29133","29133","1","1","1","166922","166922","166922","1","1","1","167067","167067","167067","1","1","1","166814","166814","166814","1","1","1","166852","166852","166852"
"1398","1","1","1","29137","29137","29137","1","1","1","166926","166926","166926","1","1","1","167071","167071","167071","1","1","1","166818","166818","166818","1","1","1","166856","166856","166856"
"1399","1","1","1","29141","29141","29141","1","1","1","166930","166930","166930","1","1","1","167075","167075","167075","1","1","1","166822","166822","166822","1","1","1","166860","166860","166860"
"1400","1","1","1","29145","29145","29145","1","1","1","166934","166934","166934","1","1","1","167079","167079","167079","1","1","1","166826","166826","166826","1","1","1","166864","166864","166864"
"1401","1","1","1","29149","29149","29149","1","1","1","166938","166938","166938","1","1","1","167083","167083","167083","1","1","1","166830","166830","166830","1","1","1","166868","166868","166868"
"1402","1","1","1","29153","29153","29153","1","1","1","166942","166942","166942","1","1","1","167087","167087","167087","1","1","1","166834","166834","166834","1","1","1","166872","166872","166872"
"1403","1","1","1","29157","29157","29157","1","1","1","166946","166946","166946","1","1","1","167091","167091","167091","1","1","1","166838","166838","166838","1","1","1","166876","166876","166876"
"1404","1","1","1","29314","29314","29314","1","1","1","167988","167988","167988","1","1","1","168128","168128","168128","1","1","1","167874","167874","167874","1","1","1","167912","167912","167912"
"1405","1","1","1","29318","29318","29318","1","1","1","167992","167992","167992","1","1","1","168132","168132","168132","1","1","1","167878","167878","167878","1","1","1","167916","167916","167916"
"1406","1","1","1","29322","29322","29322","1","1","1","167996","167996","167996","1","1","1","168136","168136","168136","1","1","1","167882","167882","167882","1","1","1","167920","167920","167920"
"1407","1","1","1","29326","29326","29326","1","1","1","168000","168000","168000","1","1","1","168140","168140","168140","1","1","1","167886","167886","167886","1","1","1","167924","167924","167924"
"1408","1","1","1","29330","29330","29330","1","1","1","168004","168004","168004","1","1","1","168144","168144","168144","1","1","1","167890","167890","167890","1","1","1","167928","167928","167928"
"1409","1","1","1","29334","29334","29334","1","1","1","168008","168008","168008","1","1","1","168148","168148","168148","1","1","1","167894","167894","167894","1","1","1","167932","167932","167932"
"1410","1","1","1","29338","29338","29338","1","1","1","168012","168012","168012","1","1","1","168152","168152","168152","1","1","1","167898","167898","167898","1","1","1","167936","167936","167936"
"1411","1","1","1","29342","29342","29342","1","1","1","168016","168016","168016","1","1","1","168156","168156","168156","1","1","1","167902","167902","167902","1","1","1","167940","167940","167940"
"1412","1","1","1","29346","29346","29346","1","1","1","168020","168020","168020","1","1","1","168160","168160","168160","1","1","1","167906","167906","167906","1","1","1","167944","167944","167944"
"1413","1","1","1","29501","29501","29501","1","1","1","169056","169056","169056","1","1","1","169196","169196","169196","1","1","1","168942","168942","168942","1","1","1","168980","168980","168980"
"1414","1","1","1","29505","29505","29505","1","1","1","169060","169060","169060","1","1","1","169200","169200","169200","1","1","1","168946","168946","168946","1","1","1","168984","168984","168984"
"1415","1","1","1","29509","29509","29509","1","1","1","169064","169064","169064","1","1","1","169204","169204","169204","1","1","1","168950","168950","168950","1","1","1","168988","168988","168988"
"1416","1","1","1","29513","29513","29513","1","1","1","169068","169068","169068","1","1","1","169208","169208","169208","1","1","1","168954","168954","168954","1","1","1","168992","168992","168992"
"1417","1","1","1","29517","29517","29517","1","1","1","169072","169072","169072","0.9","0.9","0.9","169212","169212","169212","1","1","1","168958","168958","168958","1","1","1","168996","168996","168996"
"1418","1","1","1","29521","29521","29521","1","1","1","169076","169076","169076","1","1","1","169216","169216","169216","1","1","1","168962","168962","168962","1","1","1","169000","169000","169000"
"1419","1","1","1","29525","29525","29525","1","1","1","169080","169080","169080","1","1","1","169220","169220","169220","1","1","1","168966","168966","168966","1","1","1","169004","169004","169004"
"1420","1","1","1","29529","29529","29529","1","1","1","169084","169084","169084","1","1","1","169224","169224","169224","1","1","1","168970","168970","168970","1","1","1","169008","169008","169008"
"1421","1","1","1","29533","29533","29533","1","1","1","169088","169088","169088","1","1","1","169228","169228","169228","1","1","1","168974","168974","168974","1","1","1","169012","169012","169012"
"1422","1","1","1","29687","29687","29687","1","1","1","170124","170124","170124","1","1","1","170263","170263","170263","1","1","1","170010","170010","170010","1","1","1","170048","170048","170048"
"1423","1","1","1","29691","29691","29691","1","1","1","170128","170128","170128","1","1","1","170267","170267","170267","1","1","1","170014","170014","170014","1","1","1","170052","170052","170052"
"1424","1","1","1","29695","29695","29695","1","1","1","170132","170132","170132","1","1","1","170271","170271","170271","1","1","1","170018","170018","170018","1","1","1","170056","170056","170056"
"1425","1","1","1","29699","29699","29699","1","1","1","170136","170136","170136","1","1","1","170275","170275","170275","1","1","1","170022","170022","170022","1","1","1","170060","170060","170060"
"1426","1","1","1","29703","29703","29703","1","1","1","170140","170140","170140","1","1","1","170279","170279","170279","1","1","1","170026","170026","170026","1","1","1","170064","170064","170064"
"1427","1","1","1","29707","29707","29707","1","1","1","170144","170144","170144","1","1","1","170283","170283","170283","1","1","1","170030","170030","170030","1","1","1","170068","170068","170068"
"1428","1","1","1","29711","29711","29711","1","1","1","170148","170148","170148","1","1","1","170287","170287","170287","1","1","1","170034","170034","170034","1","1","1","170072","170072","170072"
"1429","1","1","1","29715","29715","29715","1","1","1","170152","170152","170152","1","1","1","170291","170291","170291","1","1","1","170038","170038","170038","1","1","1","170076","170076","170076"
"1430","1","1","1","29719","29719","29719","1","1","1","170156","170156","170156","1","1","1","170295","170295","170295","1","1","1","170042","170042","170042","1","1","1","170080","170080","170080"
"1431","1","1","1","29873","29873","29873","1","1","1","171193","171193","171193","1","1","1","171336","171336","171336","1","1","1","171079","171079","171079","1","1","1","171117","171117","171117"
"1432","1","1","1","29877","29877","29877","1","1","1","171197","171197","171197","1","1","1","171340","171340","171340","1","1","1","171083","171083","171083","1","1","1","171121","171121","171121"
"1433","1","1","1","29881","29881","29881","1","1","1","171201","171201","171201","1","1","1","171344","171344","171344","1","1","1","171087","171087","171087","1","1","1","171125","171125","171125"
"1434","1","1","1","29885","29885","29885","1","1","1","171206","171206","171206","1","1","1","171348","171348","171348","1","1","1","171091","171091","171091","1","1","1","171129","171129","171129"
"1435","1","1","1","29889","29889","29889","1","1","1","171210","171210","171210","1","1","1","171352","171352","171352","1","1","1","171095","171095","171095","1","1","1","171133","171133","171133"
"1436","1","1","1","29893","29893","29893","1","1","1","171214","171214","171214","1","1","1","171356","171356","171356","1","1","1","171099","171099","171099","1","1","1","171137","171137","171137"
"1437","1","1","1","29897","29897","29897","1","1","1","171218","171218","171218","1","1","1","171360","171360","171360","1","1","1","171103","171103","171103","1","1","1","171141","171141","171141"
"1438","1","1","1","29901","29901","29901","1","1","1","171222","171222","171222","1","1","1","171364","171364","171364","1","1","1","171107","171107","171107","1","1","1","171145","171145","171145"
"1439","1","1","1","29905","29905","29905","1","1","1","171226","171226","171226","1","1","1","171368","171368","171368","1","1","1","171111","171111","171111","1","1","1","171149","171149","171149"
